# 15本目④ 第1版：聞き役（行頭 `> Q: `）の役割。cid<TAB>役割<TAB>聞き役の文（印を除く）。mech15.py が台本と1行ずつ突き合わせる
c103	質問	何が起きたの？
c106	まとめ	つまり、ずっと付いたままだった？
c109	質問	何を追っていくの？
c203	質問	どんな飛行機が走るの？
c206	反応	そんなに速いんだ。
c211	質問	実際の観客席は、どこにあったの？
c213	質問	条件の距離は、守られていたの？
c218	まとめ	つまり、いつもより速かった？
c302	質問	尾翼の板って、何？
c306	質問	板は、どうなっていたの？
c310	まとめ	左も右も、折れていた？
c313	質問	パイロットは？
c315	質問	そのあと、機体は？
c318	質問	そもそも、なぜ傾き始めたの？
c324	質問	じゃあ、なぜ板は震えたの？
c404	質問	事故の日には、機体は何歳？
c408	質問	パイロットとの出会いは？
c412	まとめ	つまり、長いあいだ眠っていた？
c415	質問	たくさん飛んだ機体なの？
c418	まとめ	動いていても、安心とは限らない？
c420	質問	この機体の改造は、どんなものだったの？
c502	質問	どこが、いちばん違うの？
c503	反応	ずいぶん短いね。
c506	質問	なぜ、そんな改造を？
c509	反応	倍も、重くしてあったんだ。
c512	質問	板は、どう変えてあったの？
c514	まとめ	つまり、左の板だけが頼り？
c515	質問	もし、ふつうの作りだったら？
c519	反応	同じ形なのに…。
c520	質問	危ないサインは、出ていなかったの？
c523	まとめ	つまり、サインはいくつも出ていた？
c603	質問	守られていたの？
c605	質問	届けたのは？
c608	質問	記録は、どれくらい？
c609	まとめ	つまり、決められた時間に届いていない？
c612	まとめ	つまり、書類の上では終わっていた？
c617	質問	主催者に出す書類は？
c619	まとめ	つまり、改造は無いと答えた？
c622	反応	ずいぶん、違うんだ。
c702	質問	何か、見つかったの？
c707	質問	ねじは、どうなっていたの？
c710	質問	ナットの年数は、どうして分かったの？
c713	反応	届いてすら、いなかったんだ。
c715	質問	ねじがゆるむと、何が起きるの？
c720	反応	そのあと、少ししか飛んでいない…。
c723	質問	報告書は、原因をどうまとめたの？
c802	質問	どれくらいの人が？
c805	質問	救護は、どう進んだの？
c809	質問	備えは、あったの？
c812	質問	事故の日は？
c814	質問	燃料の車は？
c817	質問	距離の決まりは、どうだったの？
c820	まとめ	つまり、どちらに従うかで、話が変わる？
c902	質問	それで、何が変わったの？
c905	質問	検査は、変わったの？
c908	質問	改造した機体は？
c911	まとめ	つまり、ほとんどは数年で片づいた？
c916	反応	そんなに、かかったんだ。
c919	まとめ	つまり、止める機会はあった？
